Antworten,"Vollständiger Name",Q01_Einverständniserklärung,Q02_Teilnahme,Q03_Meinung,"Q04_Menge->1: Deutlich zu wenig, 2: Etwas zu wenig, 3: Genau richtig, 4: Etwas zu viel, 5: Deutlich zu viel","Q05_Länge->1: Deutlich zu kurz, 2: Etwas zu kurz, 3: Genau richtig, 4: Etwas zu lang, 5: Deutlich zu lang","Q06_Motivation->1: Deutlich weniger motivierend, 2: Weniger motivierend, 3: Etwa gleich, 4: Mehr motivierend, 5: Deutlich mehr motivierend","Q07_Lernerfolg->1: Deutlich geringer, 2: Etwas geringer, 3: Etwa gleich, 4: Etwa höher, 5: Deutlich höher","Q08_Positive Aspekte->Storytelling / Kreativität der Fragen","Q08_Positive Aspekte->Wettkampf, Rangliste","Q08_Positive Aspekte->Punkte sammeln","Q08_Positive Aspekte->Anspannung, Zeitdruck","Q08_Positive Aspekte->Ansprechende Darstellung","Q08_Positive Aspekte->Nichts von alledem","Q09_Weitere positive Aspekte","Q10_Negative Aspekte->Storytelling / Kreativität der Fragen","Q10_Negative Aspekte->Wettkampf, Rangliste","Q10_Negative Aspekte->Punkte sammeln","Q10_Negative Aspekte->Anspannung, Zeitdruck","Q10_Negative Aspekte->Darstellung","Q10_Negative Aspekte->Nichts von alledem","Q11_Weitere negative Aspekte","Q12_Kreativität der Fragen->1: Sehr störend / ablenkend, 2: Etwas störend / ablenkend, 3: Neutral, 4: Eher positiv / motivierend, 5: Sehr positiv / motivierend",Q13_Gesamtbewertung->Gesamtbewertung,Q14_Verbesserungsvorschläge,"Q15_Offenes Feedback"
17502,Anonym12,1,"2 : Ein oder zwei","2 : Ich habe mich auf die Quizze gefreut",2,3,4,4,1,1,1,0,0,0,"Unterhaltsam und dadurch wird man mehr aufmerksam",0,0,0,0,0,1,"zu wenige Quizze",5,9,"öfter nutzen und vielleicht auch für im Nachhinein nutzbar machen",-
17504,Anonym13,1,"2 : Ein oder zwei","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,3,4,1,1,0,1,0,0,nein,0,0,0,0,0,1,nein,2,8,"möglichst direkte Fragen stellen, denn so kann man sich die Inhalte besser merken",nein
17454,Anonym14,1,"3 : Drei oder vier","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,2,4,4,1,0,1,0,1,0,"Sehr abwechslungsreich",0,0,0,0,0,1,Nein,4,8,"Nach dem Quiz die vorgekommen Themen noch etwas ausführlicher zusammenfassen.","Die Zeit um einen eigenen Namen einzugeben ist etwas zu kurz."
17501,Anonym15,1,"3 : Drei oder vier","2 : Ich habe mich auf die Quizze gefreut",3,4,4,3,1,0,0,0,0,0,-,0,0,0,1,0,0,"Der zietaspekt lädt dazu ein, sehr schnell zu klicken, da man ansonsten fast keine Punkte erhält. Dadurch kommt das reflektierte Beantworten zu kurz.",3,7,"Die Fragen sollten nicht so sehr unter Zeitdruck beantwortet werden müssen. Ein sekündliches Abfallen der Punkte führt zu keinem tiefgreifenden Gedankengang und somit zu keinem neuen Wissen. Stattdessen ist es eher Intuition.",-
17436,Anonym16,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,5,4,1,0,1,0,0,0,"Das danach auch immer die richtigen Antworten noch erklärt wurden und warum die falschen falsch waren",0,0,0,0,0,1,"mir fällt nichts ein",4,10,"den text später in klein noch irgendwo sehen zu können damit man nochmal auf das gesamtbild gucken kann","ich mochte vor allem die präzisen Erklärungen danach, da sie dazu führten das man den Inhalt noch besser verstehen konnte"
17464,Anonym17,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,4,5,3,1,0,0,0,1,0,"Die Integration der interessanten Referenzen mit dem Vorlesungsstoff",0,0,0,1,0,0,"Die Zeit der Verarbeitung ist zu kurz für mich, weil mein Deutsch nicht so gut ist und oft wenn wir antworten sollen, habe ich die Darstellung noch nicht fertig durchgelesen ",5,10,"Mehr Erklärungen für die richtigen Antworten wäre nice ","Thomas deserves a raise ;p"
17420,Anonym18,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",2,4,2,2,1,1,0,1,0,0,-,0,0,0,0,0,1,-,2,7,-,-
17450,Anonym19,1,"3 : Drei oder vier","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,5,1,1,0,0,1,0,"Das schauspielerisch hervorragende Vortragen der Fragen :)",0,0,0,0,0,1,nein!,5,10,"gar nicht - schon perfekt!","nein :)"
17421,Anonym20,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,4,4,1,0,0,0,0,0,-,0,0,0,1,0,0,-,5,10,-,-
17493,Anonym21,1,"3 : Drei oder vier","2 : Ich habe mich auf die Quizze gefreut",2,3,4,3,1,1,0,1,0,0,.,0,0,0,0,0,1,.,5,8,.,.
17442,Anonym22,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,4,3,0,1,1,1,0,0,.,0,0,0,0,0,1,.,4,10,"War sehr gut so wie es gemacht wurde",.
17438,Anonym23,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,5,2,1,1,0,0,1,0,-,0,0,0,0,0,1,-,5,9,-,-
17513,Anonym24,1,"1 : An keinen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",2,3,5,4,1,0,0,0,1,0,"  ",0,0,0,0,0,1,"  ",4,10,"    ","  "
17470,Anonym25,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,2,2,1,0,0,0,1,0,"Vorlesen der Aufgaben",0,0,0,1,0,0,"manche Fragen/Antworten waren etwas lang",2,9,"Vielleicht eher weiter hinten in der Vorleung machen, denn auf das Quizz freut man sich etwas. Somit hat man bis dahin eine höhere Motivation zuzuhören. Also den Zeitpunkt des Quizzes etwas anpassen.","Ich fande die Fragestellung durch die story etwas ablenkend, oder eher mehr herausfordern,m da man dort mehr darauf achten musste was man raus lesen sollte. In der kurzen Zeit hat dies dann eher meine Aufmerksamkeit genommen, anstelle mich jetzt direkt auf die Richtige Lösung zu konzentrieren, aber das erklären danach hat sehr weiter gehoolfen und an sich waren die quizze motivierend, weiterhin aktiv zu zuhören "
17521,Anonym26,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",1,3,5,4,1,0,1,0,1,0,"Die kreative Einbindung humoristischer Elemente gepaart mit der schauspielerischen Glanzleistung des Dozenten war für mich definitv ein Highlight! Die Quizze bieten zudem auch außerhalb der Vorlesung die Möglichkeit die abgefragten Aspekte zu wiederholen, während man sogar unterhalten wird, was definitiv die Wahrscheinlichkeit einer solchen Wiederholung, zumindest für mich, erhöht hat. Des Weiteren hatte Ich während jeder Vorlesung etwas, worauf Ich mich freuen konnte.",0,0,0,0,0,1,Nein,5,10,"Nach jeder Vorlesung ein solches Quiz abhalten und am Ende des Semester wäre eine Art Abschlussquiz, welches jedes Vorlesungsthema beinhalten kann, vielleicht eine gute Idee, um die Studenten, deutlich vor der Klausur zur Wiederholung der Themen anzuregen. Dieses Abschlussquiz müsste auch nicht deutlich länger als die normalen Quizze sein.",Nein
17468,Anonym27,1,"3 : Drei oder vier","2 : Ich habe mich auf die Quizze gefreut",2,4,5,4,1,0,1,0,1,0,Nein,0,0,0,0,0,1,Nein,4,8,"Weiß ich nicht","Texte werden gut vorgelesen"
17458,Anonym28,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",2,3,4,2,1,0,1,0,1,0,"Sehr kreative Quizze. Lernstoff im realen Kontext sichtbar.",0,0,0,0,0,1,Nein.,5,9,"Verwendung der Quizzes auch außerhalb vom NLP Teil.","Ich freute mich immer auf die Quizzes."
17432,Anonym29,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",2,3,5,4,1,1,1,0,0,0,"Man versteht im Anschluss tatsächlich den Inhalt besser",0,0,0,0,0,1,nö,5,10,"keine Ahnung du",nö
17613,Anonym30,1,"1 : An keinen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",2,3,5,5,1,0,0,0,0,0,-,0,0,0,1,0,0,-,5,10,-,-
17422,Anonym31,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,4,1,1,0,0,0,0,"Gute Art nochmal anders auf die Themen zu schauen.",0,0,0,0,0,1,/,5,9,/,/
17463,Anonym32,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,4,3,1,0,0,0,1,0," ",0,0,0,0,0,1," ",4,9," "," "
17440,Anonym33,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,5,4,1,1,0,0,1,0,"die Präsentation der Quizze",0,0,0,0,0,1,"Gibt nichts negatives, vielleicht waren die Fragen manchmal etwas verwirrend, aber beim zweiten Lesen war alles klar.",5,10,"Fällt mir nichts ein 10/10","Danke für die Mühe!"
17433,Anonym34,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,2,2,1,0,0,0,1,0,Humor,0,0,0,1,0,0,-,5,8,"Teilweise die Fragen klarer stellen. Der Spaß-Faktor beim Beantworten sollte darunter aber nicht leiden","Die geringere Motivation bei den Menti-Quizzen liegt daran, dass es um keine Bewertung geht. Ich habe sie aber trotzdem immer gerne mitgemacht."
17480,Anonym35,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",2,3,5,3,1,1,0,0,1,0,"Der Zoom-Chat der mit gefiebert hat.    Das drücken der Herzen verkürzt die Wartezeit.    Das mit fiebern mit dem Topkandidaten mit dem lustigsten Namen.",0,0,0,1,0,0,"Wenig Zeit bei der ersten Frage, weil man da auch noch einen Namen eingeben muss. (Das mit dem Namen finde ich gut, nur die Zeit war knapp)    Man muss am PC zwischen Zoom und Browser wechseln.",5,9,"Mehr und/oder verteilter in der Vorlesung.    Den Mentilink mit Nummer statt nur die Quiznummer in den Chat.  Zusätzlich einen QR-Code für den Quiz link, damit man schnell sein Handy für die Teilnahme nutzen kann. (Mir ist klar das es auch jetzt schon möglich ist)",Nein
17446,Anonym36,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,4,1,1,1,0,0,0,"Die Fragen waren immer lustig",0,0,0,0,0,1,Nein,4,10,"Ist bereits optimal",Nein
17459,Anonym37,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,2,4,1,1,0,0,0,0,"Durch die eigentümlichen Fragestellungen hat man denn Stoff nochmal mehr reflektiert",0,0,0,1,0,0,"Die Fragen waren etwas schwierig zu verstehen, was gekoppelt mit dem Zeitdruck etwas stressig war",3,7,-,-
17478,Anonym38,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,5,3,1,0,0,0,1,0,"Quizze boten etwas ""Entspannung"" zwischen purem Vorlesungsstoff, Abhaltung war sehr Studentennahe",0,0,0,1,0,0,Keine,4,10,"Keine Ideen",Keins
17437,Anonym39,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,2,4,2,1,1,1,0,0,0,"Es ist einfach eine schöne Abwechslung",0,0,0,1,0,0,"Es ist manchmal zu sehr ""um zehn Ercken"" gedacht",4,8,"Mit leichteren Fragen beginnen und die Fragen werden dann immer schwerer",keine
17486,Anonym40,1,"3 : Drei oder vier","2 : Ich habe mich auf die Quizze gefreut",4,4,2,1,1,0,0,0,1,0,-,0,0,0,1,0,0,"Teilweise fand ich es etwas frustrierend, weil man um einige Ecken denken musste. ",5,7,"Nicht so viele Fragen je Quiz.   Und nicht die Antwortmöglichkeiten vorlesen. ",-
17474,Anonym41,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,5,4,1,0,0,0,1,0,"Die verwendete Software: Mentimeter",0,0,0,1,0,0,"Es wäre hilfreich, wenn die Antwortmöglichkeiten für eine kurze Zeit angezeigt werden könnten, in der noch keine Auswahl möglich ist.",5,9,"Vielleicht ein Hinweis darauf, wenn sich Quizze auf vorherige Vorlesungen beziehen. So könnte man sich  or der neuen Vorlesung nochmal die alten Materialen anschauen.",Nein
17434,Anonym42,1,"3 : Drei oder vier","2 : Ich habe mich auf die Quizze gefreut",3,3,4,3,1,1,0,0,0,0,keine,0,0,0,0,0,1,keine,5,9,-,-
17462,Anonym43,1,"3 : Drei oder vier","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,4,1,1,0,0,0,0,Interaktivität,0,0,0,1,0,0,"Dass manchmal nicht der komplette relevante Text in der Frage vorhanden war und somit bei der Auswahl der Antwort nicht mehr sichtbar.",5,10,"An manchen Stellen hatten die Antworten Ambiguität, das könnte man versuchen noch herauszunehmen.","Danke für die Quizze. Sie haben die Vorlesungseinheit merkbar aufgelockert."
17430,Anonym44,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,5,4,1,0,0,1,0,0,-,0,0,0,0,0,1,-,3,10,-,-
17492,Anonym45,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,4,1,1,0,0,1,0,"Die Fragen waren sehr kreativ, und und hatten viele Referenzen, was mir auch sehr gefallen hat!  Ich habe auch duch das Wiederholen des Stoffes in dieser Weise mehr gelernt. Das kommt aber auch daher, dass ich nicht sehr gerne Dinge auswendig lerne. Hier konnte ich das Wissen mit lustigen/spaßigen Ereignissen verknüpfen.  Auch hatte ich einen Ansporn zumindest einmal auf der Top 10 zu landen.",0,0,0,1,0,0,"Manchmal waren die Fragen nicht eindeutig. Da es aber nur ein ""Spaß"" Qizz war, habe ich es nicht als störend empfunden.",5,10,"Ich finde die Quizze müssen nicht optimiert werden. Vielleicht noch einmal auch Verständlichkeit prüfen, sonst würde mir nichts einfallen.","Die Quizze waren einfach nur super! Bitte einen Keks gönnen"
17449,Anonym46,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,4,1,0,1,0,1,0,"die geschichten hinter den fragen waren cool",0,0,0,1,0,0,-,5,10,-,-
17477,Anonym47,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,2,1,0,0,0,1,0,Nope,0,0,0,1,0,0,"Den Wettkampf an sich finde ich motivierend, dass Punkte allerdings nach Antwortgeschwindigkeit vergeben werden bringt mich aber in eine Position in welcher ich keine Zeit zum sorgfältig Nachdenken habe (bzw sie mir nicht nehmen will um kompetitiv zu bleiben).  Zeitlimit(/Druck): gut - Punktevergabe nach Antwortzeit: schlecht ",2,8,"""Den Wettkampf an sich finde ich motivierend, dass Punkte allerdings nach Antwortgeschwindigkeit vergeben werden bringt mich aber in eine Position in welcher ich keine Zeit zum sorgfältig Nachdenken habe (bzw sie mir nicht nehmen will um kompetitiv zu bleiben).  Zeitlimit(/Druck): gut - Punktevergabe nach Antwortzeit: schlecht ""  -> Wenn die Punktevergabe nach Antwortzeit nicht abgeschafft werden soll (weil sie einen didaktischen Zweck erfüllt der sich mir nicht erschließt) dann könnte man sie wenigstens gestaffelt machen, d.h. nach 15sec, 25s, ... gibt es jeweils weniger Punkte","Die quize sind lit"
17579,Anonym48,1,"1 : An keinen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,4,1,1,0,0,1,0,-,0,0,0,0,0,1,-,5,10,-,-
17475,Anonym49,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,5,2,1,0,0,0,1,0,"Durch das ""um die Ecke denken"" wurde das Verständnis der Fachbegriffe deutlich verbessert.",0,0,0,1,0,0,"Wenn man die ersten Fragen falsch beantwortet hatte, hat das die Motivation die restlichen Fragen genauso intensiv zu bearbeiten etwas geschmählert. (Da man eh nicht mehr aufholen konnte etc.)",5,10,"Möglicherweise Quizfragen mit verschiedenen Punktzahlen ausstatten um eventuell falsch beantwortete Fragen auszugleichen (um die Motivation die weiteren Fragen zu beantworten hoch zu halten). Auch könnte man versuchen die Fragen auch bei der Beantwortung anzuzeigen, da wenn man einen Teil der Frage vergessen hat beim Beantworten keine Chance mehr hatte sich die Frage noch einmal durchzulesen.","Die Quizze haben die Motivation die Vorlesung zu besuchen extrem erhöht und für ein sehr angenehmes Ambiente gesorgt. Zudem hat dies auch zu mehr Interaktion mit Kommilitonen geführt, was in dem Online Unterricht sonst immer zu kurz kommt."
17516,Anonym50,1,"3 : Drei oder vier","3 : Die Quizze waren OK, aber nichts besonderes",4,4,3,3,0,0,0,0,0,1,-,0,0,0,1,0,0,-,3,4,-,-
17519,Anonym51,1,"1 : An keinen","2 : Ich habe mich auf die Quizze gefreut",4,4,5,3,1,1,0,0,1,0,Nope,0,0,0,1,0,0,Nope,5,2,kA,kA
17476,Anonym52,1,"3 : Drei oder vier","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,5,1,1,0,0,1,0,"Das auf jede Antwort  (auch die Falschen) eingegangen wurde und klar gemacht wurde wie man darauf gekommen seien könnte und auch geklärt wird wie man das Vermeiden kann in z.B. einer Klausur (siehe Eselsbrücke: Syntaktisch und Lexikalisch -> Lexikon zum Wörter nachschlagen)",0,0,0,1,0,0,-,5,10,"Wenn sowas in mehr Vorlesungen angeboten werden würde.  Evtl. noch die Fragen in Kurzgefasst bei der Antwort auswahl einblenden, denn manchmal sind die Fragen etwas lang und wenn man sich die Antworten durchgelesen hat kann man sich manchmal nicht mehr genau an die Frage erinnern.","Danke ^^  Einer der Vorlesungen im 4. Semester auf die man sich freuen kann, jede Woche aufs neue.  Ist kein langweiliges Runterbeten des Folientextes wie bei anderen Vorlesungen was gefühlt den ""Lehrauftrag"" mehr als verfehlt.   Vorallem in den Digitalen Semestern sind solche Vorlesungen wie Ihre sehr wichtig, da man schnell die Lust am Studium verliert, wenn man von manchen Professoren den Stoff lieblos hingerotzt bekommt. Man sagt zwar Uni ist auch viel selbst erarbeiten, aber ich denke ohne Mühe der Professoren wird bei den Studies auch kein Interesse am Studium wachsen.  Also nochmals Dankeschön ^^"
17611,Anonym53,1,"2 : Ein oder zwei","2 : Ich habe mich auf die Quizze gefreut",3,3,4,4,1,0,0,0,0,0,"Wie die Quizze presented worden wahr sehr gut",0,0,0,0,0,1,"manchmal hatte ich die themen die abgrafgt wurden noch nicht ganz verstanden und konnte deshalb nur bedingt an dem quiz teilnehmen",5,9,"ich wüsste leider nicht wie, fande die quizze sehr gut",top
17514,Anonym54,1,"1 : An keinen","4 : Ich fand die Quizze nicht so gut",3,3,4,2,0,0,0,0,0,1,a,1,1,0,0,0,0,y,2,5,y,c
17453,Anonym55,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,5,5,1,1,0,0,1,0,"Die eigene Auswahl des Namens für die Rangliste",0,0,0,0,0,1,-,5,10,"Eventuell die Quizze eher in der Mitte der Vorlesung ansiedeln. Dies hilft dabei sich kurz abzulenken und danach konzentrierter weiterzuarbeiten","Quizze waren sehr motivierend sich mit dem älteren Stoff nochmal genauer auseinanderzusetzen, da man es auf die Rangliste schaffen möchte"
17448,Anonym56,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",3,3,5,4,1,1,0,0,1,0,"Vorstellung der Fragen und Erklärungen zu den Antwortmöglichkeiten",0,0,0,0,0,1,nichts,5,10," "," "
17452,Anonym57,1,"3 : Drei oder vier","2 : Ich habe mich auf die Quizze gefreut",3,3,4,3,1,1,1,0,0,0,"Die Quizze funktionieren sehr gut als Wachmacher bzw. sorgen einfach für einen kleinen Push, falls man gerade dabei war, sich auf etwas anderes konzentrieren zu wollen.",0,0,0,0,0,1,Nein.,4,9,"Gute Frage. Vorschläge habe ich in der Hinsicht leider keine.",Nein.
17505,Anonym58,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,4,3,1,0,0,1,0,0,"Warum muss ich dieses Feld ausfüllen",0,0,0,0,0,1,"Man sollte dieses optionale Feld nicht ausfüllen müssen",4,9,"Dass man dieses optionale Feld ausfüllen muss","Man sollte dieses optionale Feld nicht ausfüllen müssen"
17467,Anonym59,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,5,5,1,1,0,0,0,0,"Die besondere Darstellung der Frage war interressant.   Die Erklärungen warum die anderen Anworten falsch waren hat mir gut geholfen den Stoff zu verstehen ",0,0,0,1,0,0,"Dadurch musste man sich schnell für eine Anwort entscheiden ohne genauer darüber überlegen zu können.",5,10,"Ist schon so gut wie es ist. ",Nichts
17485,Anonym60,1,"3 : Drei oder vier","3 : Die Quizze waren OK, aber nichts besonderes",3,3,2,3,1,0,0,0,0,0,"Das Vortragen des Dozenten. ",0,0,1,1,0,0,-,2,7,"Klare Fragen hinter dem Storytelling und kein was könnte/hätte Person xy geantwortet/gedacht etc. ","- "
17419,Anonym61,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,5,4,1,1,0,0,0,0,-,0,0,0,0,0,1,-,4,9,"Fragen über die Vorlesung verteilt stellen.",-
17469,Anonym62,1,"3 : Drei oder vier","2 : Ich habe mich auf die Quizze gefreut",3,2,2,2,1,0,0,0,1,0,"Kreativität in der Fragestellung. Hin und wieder lustig",0,0,0,0,0,1,Nein,4,8,"War das erste mal, dass man so richtig die Idee von Quizzen genutzt hat. Demnach fehlt mir da ein wenig der Vergleich. Das liegt aber vielmehr daran, dass in anderen Modulen Quizze nie verwendet werden.","Nein. Super Idee. Gut umgesetzt. :D"
17466,Anonym63,1,"4 : An allen","1 : Die Quizze waren das beste an der ganzen Vorlesung!",2,3,4,4,1,0,0,0,0,0,"Lockere Vortragsweise",0,0,0,0,0,1,nein,4,8,"Evtl. den thematischen Inhalt der Quizze noch in der Gleichen Vorlesung abfragen. Dann kann sich das erlangte Wissen gleich festigen. Vieles hat man bis zur Nächsten Vorlesung wieder vergessen. Der Lerneffekt ist dadurch vielleicht größer, man hat aber keinen zusätzlichen Arbeitsaufwand.","Sonst echt toll, hatten wir bisher noch nie und hat echt Spaß gemacht :)"
17515,Anonym64,1,"1 : An keinen","2 : Ich habe mich auf die Quizze gefreut",3,3,4,3,1,0,0,0,0,0,"alles gut",0,0,0,0,0,1,nichts,5,9,"mir fällt nichts ein",nein
17423,Anonym65,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,5,2,1,1,0,0,0,0,Popkulturreferenzen,0,0,0,0,0,1,nö,4,9,idk,"Zeitpunkt in der Mitte der VL ist gut gewählt"
17497,Anonym66,1,"4 : An allen","2 : Ich habe mich auf die Quizze gefreut",3,3,4,2,1,0,0,0,1,0,nein,0,0,0,0,0,1,nein,4,9,"weiß nicht",nein
